Title,Author,Link,Bookshelf
"Zoological Mythology; or, The Legends of Animals, Volume 1 (of 2)",De Gubernatis,http://www.gutenberg.org/ebooks/38687,Animals-Wild
Wild Animals at Home,Ernest Thompson Seton,http://www.gutenberg.org/ebooks/27887,Animals-Wild
Ways of Wood Folk,William J. Long,http://www.gutenberg.org/ebooks/18193,Animals-Wild
Animals of the Past,Frederic A. Lucas,http://www.gutenberg.org/ebooks/38013,Animals-Wild
A Hundred Anecdotes of Animals,Percy J. Billinghurst,http://www.gutenberg.org/ebooks/24263,Animals-Wild
Squirrels and Other Fur-Bearers,John Burroughs,http://www.gutenberg.org/ebooks/24388,Animals-Wild
Stories about Animals: with Pictures to Match,Francis C. Woodworth,http://www.gutenberg.org/ebooks/18767,Animals-Wild
"Zoological Illustrations, Volume 1",William Swainson,http://www.gutenberg.org/ebooks/39471,Animals-Wild
Creatures of the Night: A Book of Wild Life in Western Britain,Rees,http://www.gutenberg.org/ebooks/29349,Animals-Wild
The Minds and Manners of Wild Animals: A Book of Personal Observations,Hornaday,http://www.gutenberg.org/ebooks/6052,Animals-Wild
Tales of the Fish Patrol,Jack London,http://www.gutenberg.org/ebooks/28693,Animals-Wild
Wilderness Ways,William J. Long,http://www.gutenberg.org/ebooks/15950,Animals-Wild
Wild Nature Won By Kindness,Mrs. Brightwen,http://www.gutenberg.org/ebooks/21111,Animals-Wild
Marvels of Pond-life,Henry James Slack,http://www.gutenberg.org/ebooks/36903,Animals-Wild
The Determined Angler and the Brook Trout,Charles Barker Bradford,http://www.gutenberg.org/ebooks/37856,Animals-Wild
"Lobo, Rag and Vixen",Ernest Thompson Seton,http://www.gutenberg.org/ebooks/14226,Animals-Wild
Anecdotes of the Habits and Instinct of Animals,Mrs. R. Lee,http://www.gutenberg.org/ebooks/21973,Animals-Wild
Natural History in Anecdote,Alfred H. Miles,http://www.gutenberg.org/ebooks/37959,Animals-Wild
The Extermination of the American Bison,William T. Hornaday,http://www.gutenberg.org/ebooks/17748,Animals-Wild-Trapping
Deadfalls and Snares,A. R. Harding,http://www.gutenberg.org/ebooks/34110,Animals-Wild-Trapping
Fifty Years a Hunter and Trapper,E. N. Woodcock,http://www.gutenberg.org/ebooks/34063,Animals-Wild-Trapping
"Fox Trapping: A Book of Instruction Telling How to Trap, Snare, Poison and Shoot",,http://www.gutenberg.org/ebooks/34076,Animals-Wild-Trapping
Practical Taxidermy,Montagu Browne,http://www.gutenberg.org/ebooks/26014,Animals-Wild-Trapping
Our Vanishing Wild Life: Its Extermination and Preservation,William T. Hornaday,http://www.gutenberg.org/ebooks/13249,Animals-Wild-Trapping
Jorrocks' Jaunts and Jollities,Robert Smith Surtees,http://www.gutenberg.org/ebooks/15387,Animals-Wild-Trapping
Hunting in Many Lands: The Book of the Boone and Crockett Club,Grinnell et al.,http://www.gutenberg.org/ebooks/37122,Animals-Wild-Trapping
Science of Trapping,Elmer Harry Kreps,http://www.gutenberg.org/ebooks/34098,Animals-Wild-Trapping
Buffalo Land,W. E. Webb,http://www.gutenberg.org/ebooks/39674,Animals-Wild-Trapping
Home Taxidermy for Pleasure and Profit,Albert Burton Farnham,http://www.gutenberg.org/ebooks/23259,Animals-Wild-Trapping
ABC of Fox Hunting,Sir John Dean Paul,http://www.gutenberg.org/ebooks/30243,Animals-Wild-Trapping
Mr. Sponge's Sporting Tour,Robert Smith Surtees,http://www.gutenberg.org/ebooks/16957,Animals-Wild-Trapping
Mink Trapping: A Book of Instruction Giving Many Methods of Trapping,Harding,http://www.gutenberg.org/ebooks/34093,Animals-Wild-Trapping
The Confessions of a Poacher,F.L.S. John Watson,http://www.gutenberg.org/ebooks/36970,Animals-Wild-Trapping
Fur Farming,A. R. Harding,http://www.gutenberg.org/ebooks/33830,Animals-Wild-Trapping
Methods of Destroying Rats,David E. Lantz,http://www.gutenberg.org/ebooks/34437,Animals-Wild-Trapping
Taxidermy,Leon Luther Pray,http://www.gutenberg.org/ebooks/29691,Animals-Wild-Trapping
Blue-Bird Weather,Robert W. Chambers,http://www.gutenberg.org/ebooks/24389,Animals-Wild-Trapping
Off to the Wilds: Being the Adventures of Two Brothers,George Manville Fenn,http://www.gutenberg.org/ebooks/21359,Animals-Wild-Trapping
The Hunters' Feast: Conversations Around the Camp Fire,Mayne Reid,http://www.gutenberg.org/ebooks/23499,Animals-Wild-Trapping
Letters on an Elk Hunt,Elinore Pruitt Stewart,http://www.gutenberg.org/ebooks/28572,Animals-Wild-Trapping
The Giraffe Hunters,Mayne Reid,http://www.gutenberg.org/ebooks/27911,Animals-Wild-Trapping
Dead Man's Land,George Manville Fenn,http://www.gutenberg.org/ebooks/23922,Animals-Wild-Trapping
Game Birds and Game Fishes of the Pacific Coast,Harry Thom Payne,http://www.gutenberg.org/ebooks/38032,Animals-Wild-Trapping
"Birds, Illustrated","Color Photography, Vol. 1, No. 1 Various",http://www.gutenberg.org/ebooks/30221,Animals-Wild-Birds
What Bird is That?,Frank M. Chapman,http://www.gutenberg.org/ebooks/31751,Animals-Wild-Birds
Ducks at a Distance: A Waterfowl Identification Guide,Bob Hines,http://www.gutenberg.org/ebooks/18884,Animals-Wild-Birds
Birds in Town & Village,W. H. Hudson,http://www.gutenberg.org/ebooks/7353,Animals-Wild-Birds
Bird Houses Boys Can Build,Albert Frederick Siepert,http://www.gutenberg.org/ebooks/25990,Animals-Wild-Birds
Birds and Man,W. H. Hudson,http://www.gutenberg.org/ebooks/37787,Animals-Wild-Birds
Antarctic Penguins: A Study of Their Social Habits,G. Murray Levick,http://www.gutenberg.org/ebooks/36922,Animals-Wild-Birds
The Bird Book,Chester A. Reed,http://www.gutenberg.org/ebooks/30000,Animals-Wild-Birds
Birds from North Borneo,Max C. Thompson,http://www.gutenberg.org/ebooks/33044,Animals-Wild-Birds
"Birds, Illustrated","Color Photography, Vol. 1, No. 4 Various",http://www.gutenberg.org/ebooks/25874,Animals-Wild-Birds
"Birds, Illustrated","Color Photography, Vol. 1, No. 5 Various",http://www.gutenberg.org/ebooks/25983,Animals-Wild-Birds
Stories of Birds,Lenore Elizabeth Mulets,http://www.gutenberg.org/ebooks/20547,Animals-Wild-Birds
The Curious Book of Birds,Abbie Farwell Brown,http://www.gutenberg.org/ebooks/16140,Animals-Wild-Birds
Birds Every Child Should Know,Neltje Blanchan,http://www.gutenberg.org/ebooks/38233,Animals-Wild-Birds
Birds of the Indian Hills,Douglas Dewar,http://www.gutenberg.org/ebooks/23755,Animals-Wild-Birds
The Bird Study Book,T. Gilbert Pearson,http://www.gutenberg.org/ebooks/21007,Animals-Wild-Birds
"Argentine Ornithology, Volume 1 (of 2)",W. H. Hudson and Philip Lutley Sclater,http://www.gutenberg.org/ebooks/38956,Animals-Wild-Birds
An Australian Bird Book: A Pocket Book for Field Use,John Albert Leach,http://www.gutenberg.org/ebooks/34781,Animals-Wild-Birds
Our Bird Comrades,Leander S. Keyser,http://www.gutenberg.org/ebooks/26346,Animals-Wild-Birds
The Song of the Cardinal,Gene Stratton-Porter,http://www.gutenberg.org/ebooks/533,Animals-Wild-Birds
Color Key to North American Birds,Frank M. Chapman,http://www.gutenberg.org/ebooks/38003,Animals-Wild-Birds
Dickey Downy: The Autobiography of a Bird,Virginia Sharpe Patterson,http://www.gutenberg.org/ebooks/16255,Animals-Wild-Birds
The Woodpeckers,Fannie Hardy Eckstorm,http://www.gutenberg.org/ebooks/35062,Animals-Wild-Birds
"Birds and Bees, Sharp Eyes, and Other Papers",John Burroughs,http://www.gutenberg.org/ebooks/3163,Animals-Wild-Birds
The Story of an Ostrich: An Allegory and Humorous Satire in Rhyme.,I. J. Potter,http://www.gutenberg.org/ebooks/37530,Animals-Wild-Birds
Explanation of Terms Used in Entomology,John Bernhard Smith,http://www.gutenberg.org/ebooks/22748,Animals-Wild-Insects
The Life of the Bee,Maurice Maeterlinck,http://www.gutenberg.org/ebooks/4511,Animals-Wild-Insects
Social Life in the Insect World,Jean-Henri Fabre,http://www.gutenberg.org/ebooks/18350,Animals-Wild-Insects
An Elementary Study of Insects,Leonard Haseman,http://www.gutenberg.org/ebooks/23434,Animals-Wild-Insects
Butterflies and Moths (British),William S. Furneaux,http://www.gutenberg.org/ebooks/34131,Animals-Wild-Insects
Butterflies Worth Knowing,Clarence Moores Weed,http://www.gutenberg.org/ebooks/37009,Animals-Wild-Insects
"Wild Bees, Wasps and Ants and Other Stinging Insects",Edward Saunders,http://www.gutenberg.org/ebooks/33874,Animals-Wild-Insects
Our Common Insects,A. S. Packard,http://www.gutenberg.org/ebooks/24409,Animals-Wild-Insects
The Insect Folk,Margaret Warner Morley,http://www.gutenberg.org/ebooks/18790,Animals-Wild-Insects
The Life of the Fly; With Which are Interspersed Some Chapters of Autobiography,,http://www.gutenberg.org/ebooks/3422,Animals-Wild-Insects
The Life-Story of Insects,George H. Carpenter,http://www.gutenberg.org/ebooks/16410,Animals-Wild-Insects
The Glow-Worm and Other Beetles,Jean-Henri Fabre,http://www.gutenberg.org/ebooks/27868,Animals-Wild-Insects
The Wonders of Instinct: Chapters in the Psychology of Insects,Jean-Henri Fabre,http://www.gutenberg.org/ebooks/3754,Animals-Wild-Insects
More Hunting Wasps,Jean-Henri Fabre,http://www.gutenberg.org/ebooks/3462,Animals-Wild-Insects
Bee Hunting: A Book of Valuable Information for Bee Hunters,John Ready Lockard,http://www.gutenberg.org/ebooks/34044,Animals-Wild-Insects
British Butterflies: Figures and Descriptions of Every Native Species,Coleman,http://www.gutenberg.org/ebooks/33852,Animals-Wild-Insects
The Children's Life of the Bee,Maurice Maeterlinck,http://www.gutenberg.org/ebooks/38516,Animals-Wild-Insects
"Little Busybodies: The Life of Crickets, Ants, Bees, Beetles, and Other",,http://www.gutenberg.org/ebooks/21948,Animals-Wild-Insects
The Mason-Bees,Jean-Henri Fabre,http://www.gutenberg.org/ebooks/2884,Animals-Wild-Insects
Moths of the Limberlost: A Book About Limberlost Cabin,Gene Stratton-Porter,http://www.gutenberg.org/ebooks/4907,Animals-Wild-Insects
Bramble-Bees and Others,Jean-Henri Fabre,http://www.gutenberg.org/ebooks/3421,Animals-Wild-Insects
Bee and Butterfly: A Tale of Two Cousins,Lucy Foster Madison,http://www.gutenberg.org/ebooks/33407,Animals-Wild-Insects
The House Fly and How to Suppress It,F. C. Bishopp and L. O. Howard,http://www.gutenberg.org/ebooks/18050,Animals-Wild-Insects
New observations on the natural history of bees,François Huber,http://www.gutenberg.org/ebooks/26457,Animals-Wild-Insects
Bees from British Guiana,Theodore D. A. Cockerell,http://www.gutenberg.org/ebooks/34579,Animals-Wild-Insects
The Extermination of the American Bison,William T. Hornaday,http://www.gutenberg.org/ebooks/17748,Animals-Wild-Mammals
Wolf and Coyote Trapping: An Up-to-Date Wolf Hunter's Guide,A. R. Harding,http://www.gutenberg.org/ebooks/34501,Animals-Wild-Mammals
Hunting in Many Lands: The Book of the Boone and Crockett Club,Grinnell et al.,http://www.gutenberg.org/ebooks/37122,Animals-Wild-Mammals
Sketches of the Natural History of Ceylon,Sir James Emerson Tennent,http://www.gutenberg.org/ebooks/13325,Animals-Wild-Mammals
Natural History of the Mammalia of India and Ceylon,Robert Armitage Sterndale,http://www.gutenberg.org/ebooks/19550,Animals-Wild-Mammals
Buffalo Land,W. E. Webb,http://www.gutenberg.org/ebooks/39674,Animals-Wild-Mammals
Squirrels and Other Fur-Bearers,John Burroughs,http://www.gutenberg.org/ebooks/24388,Animals-Wild-Mammals
The Barren Ground Caribou of Keewatin,Francis Harper,http://www.gutenberg.org/ebooks/33721,Animals-Wild-Mammals
"Whales, Dolphins, and Porpoises of the Western North Atlantic",Caldwell et al.,http://www.gutenberg.org/ebooks/33527,Animals-Wild-Mammals
The Autobiography of a Monkey,Albert Bigelow Paine,http://www.gutenberg.org/ebooks/33629,Animals-Wild-Mammals
The Mental Life of Monkeys and Apes: A Study of Ideational Behavior,Yerkes,http://www.gutenberg.org/ebooks/10843,Animals-Wild-Mammals
Methods of Destroying Rats,David E. Lantz,http://www.gutenberg.org/ebooks/34437,Animals-Wild-Mammals
"A New Piñon Mouse (Peromyscus truei) from Durango, Mexico",Robert B. Finley,http://www.gutenberg.org/ebooks/31149,Animals-Wild-Mammals
The Forest Habitat of the University of Kansas Natural History Reservation,Fitch et al.,http://www.gutenberg.org/ebooks/34353,Animals-Wild-Mammals
House Rats and Mice,David E. Lantz,http://www.gutenberg.org/ebooks/35542,Animals-Wild-Mammals
Life History of the Kangaroo Rat,Walter P. Taylor and Charles Taylor Vorhies,http://www.gutenberg.org/ebooks/17966,Animals-Wild-Mammals
"Delineations of the Ox Tribe: The Natural History of Bulls, Bisons, and",,http://www.gutenberg.org/ebooks/27975,Animals-Wild-Mammals
"The Recent Mammals of Tamaulipas, México",Ticul Alvarez,http://www.gutenberg.org/ebooks/39372,Animals-Wild-Mammals
In New England Fields and Woods,Rowland Evans Robinson,http://www.gutenberg.org/ebooks/36844,Animals-Wild-Mammals
Ecological Studies of the Timber Wolf in Northeastern Minnesota,Frenzel et al.,http://www.gutenberg.org/ebooks/37595,Animals-Wild-Mammals
Geographic Distribution and Taxonomy of the Chipmunks of Wyoming,John A. White,http://www.gutenberg.org/ebooks/31951,Animals-Wild-Mammals
"Mammals of Mesa Verde National Park, Colorado",Sydney Anderson,http://www.gutenberg.org/ebooks/31035,Animals-Wild-Mammals
Mammals of the San Gabriel Mountains of California,Terry A. Vaughan,http://www.gutenberg.org/ebooks/34848,Animals-Wild-Mammals
Seaside Studies in Natural History. Marine Animals of Massachusetts Bay.,,http://www.gutenberg.org/ebooks/35490,Animals-Wild-Mammals
"Habits, Haunts and Anecdotes of the Moose and Illustrations from Life",Jones,http://www.gutenberg.org/ebooks/37151,Animals-Wild-Mammals
On Snake-Poison: Its Action and Its Antidote,A. Mueller,http://www.gutenberg.org/ebooks/32947,Animals-Wild-Reptiles
"Neotropical Hylid Frogs, Genus Smilisca",William Edward Duellman and Linda Trueb,http://www.gutenberg.org/ebooks/37823,Animals-Wild-Reptiles
"Amphibians and Reptiles of the Rainforests of Southern El Petén, Guatemala",,http://www.gutenberg.org/ebooks/38398,Animals-Wild-Reptiles
"A Distributional Study of the Amphibians of the Isthmus of Tehuantepec, México",,http://www.gutenberg.org/ebooks/38440,Animals-Wild-Reptiles
"Natural History of the Ornate Box Turtle, Terrapene ornata ornata Agassiz",Legler,http://www.gutenberg.org/ebooks/37566,Animals-Wild-Reptiles
"Natural History of Cottonmouth Moccasin, Agkistrodon piscovorus (Reptilia)",,http://www.gutenberg.org/ebooks/38308,Animals-Wild-Reptiles
"A Revision of Snakes of the Genus Conophis (Family Colubridae, from Middle",,http://www.gutenberg.org/ebooks/37512,Animals-Wild-Reptiles
"The Amphibians and Reptiles of Michoacán, México",William Edward Duellman,http://www.gutenberg.org/ebooks/33543,Animals-Wild-Reptiles
A Review of the Middle American Tree Frogs of the Genus Ptychohyla,Duellman,http://www.gutenberg.org/ebooks/35413,Animals-Wild-Reptiles
The Ancestry of Modern Amphibia: A Review of the Evidence,Theodore H. Eaton,http://www.gutenberg.org/ebooks/37350,Animals-Wild-Reptiles
Some Reptiles and Amphibians from Korea,"Byers, Jones, and Webb",http://www.gutenberg.org/ebooks/34949,Animals-Wild-Reptiles
Genera of Leptodactylid Frogs in México,John D. Lynch,http://www.gutenberg.org/ebooks/31830,Animals-Wild-Reptiles
The Adductor Muscles of the Jaw In Some Primitive Reptiles,Richard C. Fox,http://www.gutenberg.org/ebooks/30321,Animals-Wild-Reptiles
A Review of the Frogs of the Hyla bistincta Group,William Edward Duellman,http://www.gutenberg.org/ebooks/32653,Animals-Wild-Reptiles
"Occurrence of the Garter Snake, Thamnophis sirtalis, in the Great Plains and",,http://www.gutenberg.org/ebooks/33966,Animals-Wild-Reptiles
Middle American Frogs of the Hyla microcephala Group,Duellman and Fouquette,http://www.gutenberg.org/ebooks/34604,Animals-Wild-Reptiles
"A Field Study of the Kansas Ant-Eating Frog, Gastrophryne olivacea",Fitch,http://www.gutenberg.org/ebooks/33574,Animals-Wild-Reptiles
"Systematic Status of the Colubrid Snake, Leptodeira discolor Günther",Duellman,http://www.gutenberg.org/ebooks/34954,Animals-Wild-Reptiles
A New Order of Fishlike Amphibia From the Pennsylvanian of Kansas,Eaton et al.,http://www.gutenberg.org/ebooks/31050,Animals-Wild-Reptiles
A New Extinct Emydid Turtle from the Lower Pliocene of Oklahoma,Galbreath,http://www.gutenberg.org/ebooks/34449,Animals-Wild-Reptiles
A Taxonomic Revision of the Leptodactylid Frog Genus Syrrhophus Cope,Lynch,http://www.gutenberg.org/ebooks/37809,Animals-Wild-Reptiles
The Genera of Phyllomedusine Frogs (Anura: Hylidae),William Edward Duellman,http://www.gutenberg.org/ebooks/31221,Animals-Wild-Reptiles
"A New Subspecies of Lizard, Cnemidophorus sacki, from Michoacán, México",Duellman,http://www.gutenberg.org/ebooks/33508,Animals-Wild-Reptiles
Description of a New Softshell Turtle from the Southeastern United States,Webb,http://www.gutenberg.org/ebooks/31621,Animals-Wild-Reptiles
Selected Records of Reptiles and Amphibians from Kansas,Breukelman and Smith,http://www.gutenberg.org/ebooks/34554,Animals-Wild-Reptiles
Anne of Green Gables,L. M. Montgomery,http://www.gutenberg.org/ebooks/45,Canada
Anne of Avonlea,L. M. Montgomery,http://www.gutenberg.org/ebooks/47,Canada
Anne of the Island,L. M. Montgomery,http://www.gutenberg.org/ebooks/51,Canada
Anne's House of Dreams,L. M. Montgomery,http://www.gutenberg.org/ebooks/544,Canada
Rilla of Ingleside,L. M. Montgomery,http://www.gutenberg.org/ebooks/3796,Canada
Rainbow Valley,L. M. Montgomery,http://www.gutenberg.org/ebooks/5343,Canada
Chronicles of Avonlea,L. M. Montgomery,http://www.gutenberg.org/ebooks/1354,Canada
Wild Animals I Have Known,Ernest Thompson Seton,http://www.gutenberg.org/ebooks/3031,Canada
Sunshine Sketches of a Little Town,Stephen Leacock,http://www.gutenberg.org/ebooks/3533,Canada
The Story Girl,L. M. Montgomery,http://www.gutenberg.org/ebooks/5342,Canada
"Lucy Maud Montgomery Short Stories, 1909 to 1922",L. M. Montgomery,http://www.gutenberg.org/ebooks/24878,Canada
Roughing It in the Bush,Susanna Moodie,http://www.gutenberg.org/ebooks/4389,Canada
The Spell of the Yukon and Other Verses,Robert W. Service,http://www.gutenberg.org/ebooks/207,Canada
The Golden Road,L. M. Montgomery,http://www.gutenberg.org/ebooks/316,Canada
Further Chronicles of Avonlea,L. M. Montgomery,http://www.gutenberg.org/ebooks/5340,Canada
"Lucy Maud Montgomery Short Stories, 1905 to 1906",L. M. Montgomery,http://www.gutenberg.org/ebooks/24876,Canada
"Lucy Maud Montgomery Short Stories, 1896 to 1901",L. M. Montgomery,http://www.gutenberg.org/ebooks/24873,Canada
Two Little Savages,Ernest Thompson Seton,http://www.gutenberg.org/ebooks/13499,Canada
Kilmeny of the Orchard,L. M. Montgomery,http://www.gutenberg.org/ebooks/5341,Canada
"Lucy Maud Montgomery Short Stories, 1904",L. M. Montgomery,http://www.gutenberg.org/ebooks/24875,Canada
"Lucy Maud Montgomery Short Stories, 1907 to 1908",L. M. Montgomery,http://www.gutenberg.org/ebooks/24877,Canada
Maria Chapdelaine,Louis Hémon,http://www.gutenberg.org/ebooks/13525,Canada
"France and England in North America, Part I: Pioneers of France in the New World",,http://www.gutenberg.org/ebooks/3721,Canada
The Backwoods of Canada,Catharine Parr Strickland Traill,http://www.gutenberg.org/ebooks/13559,Canada
Kazan,James Oliver Curwood,http://www.gutenberg.org/ebooks/10084,Canada
Twas the Night before Christmas: A Visit from St. Nicholas,Clement Clarke Moore,http://www.gutenberg.org/ebooks/17135,Children's
The Tale of Peter Rabbit,Beatrix Potter,http://www.gutenberg.org/ebooks/14838,Children's
Struwwelpeter: Merry Stories and Funny Pictures,Heinrich Hoffmann,http://www.gutenberg.org/ebooks/12116,Children's
Children's Hour with Red Riding Hood and Other Stories,pseud. Watty Piper,http://www.gutenberg.org/ebooks/11592,Children's
The Little Red Hen,Florence White Williams,http://www.gutenberg.org/ebooks/18735,Children's
Favorite Fairy Tales,Logan Marshall,http://www.gutenberg.org/ebooks/20748,Children's
The Story of the Three Little Pigs,L. Leslie Brooke,http://www.gutenberg.org/ebooks/18155,Children's
Little Black Sambo,Helen Bannerman,http://www.gutenberg.org/ebooks/17824,Children's
The Tale of Benjamin Bunny,Beatrix Potter,http://www.gutenberg.org/ebooks/14407,Children's
The Tailor of Gloucester,Beatrix Potter,http://www.gutenberg.org/ebooks/14868,Children's
A Visit From Saint Nicholas,Clement Clarke Moore,http://www.gutenberg.org/ebooks/17382,Children's
Old Christmas: from the Sketch Book of Washington Irving,Washington Irving,http://www.gutenberg.org/ebooks/20656,Children's
Der Struwwelpeter,Heinrich Hoffmann,http://www.gutenberg.org/ebooks/24571,Children's
The Tale of Squirrel Nutkin,Beatrix Potter,http://www.gutenberg.org/ebooks/14872,Children's
Household Stories,the Brothers Grimm Jacob Grimm and Wilhelm Grimm,http://www.gutenberg.org/ebooks/19068,Children's
The Tale of Tom Kitten,Beatrix Potter,http://www.gutenberg.org/ebooks/14837,Children's
The Tale of Johnny Town-Mouse,Beatrix Potter,http://www.gutenberg.org/ebooks/15284,Children's
The Real Mother Goose,Blanche Fisher Wright,http://www.gutenberg.org/ebooks/10607,Children's
The Pied Piper of Hamelin,Robert Browning,http://www.gutenberg.org/ebooks/18343,Children's
Nonsense Books,Edward Lear,http://www.gutenberg.org/ebooks/13650,Children's
Max und Moritz: Eine Bubengeschichte in sieben Streichen,Wilhelm Busch,http://www.gutenberg.org/ebooks/17161,Children's
Uncle Remus and Brer Rabbit,Joel Chandler Harris,http://www.gutenberg.org/ebooks/22282,Children's
The Tale of Mrs. Tiggy-Winkle,Beatrix Potter,http://www.gutenberg.org/ebooks/15137,Children's
